A, ﻿A
seleção, seleção
brasileira, brasileiro
masculina, masculina
de, de
basquete, basquete
vai, ir
se, se
reunir, reunir
amanhã, amanhã
,, ,
em, em
Santa, Santa
Cruz, Cruz
do, de o
Sul, Sul
(, (
RS, RS
), )
,, ,
onde, onde
inicia, iniciar
os, o
treinamentos, treinamento
para, para
o, o
Sul-Americano, Sul-Americano
de, de
Montevidéu, Montevidéu
,, ,
Uruguai, Uruguai
,, ,
que, que
começa, começar
no, em o
dia, dia
27, 27
., .

, 

O, o
técnico, técnico
da, de o
seleção, seleção
,, ,
Ary, Ary
Vidal, Vidal
,, ,
convocou, convocar
14, 14
jogadores, jogador
:, :
alas, ala
/, /
armadores, armador
-, -
Rogério, Rogério
,, ,
Fernando, Fernando
,, ,
Caio, Caio
,, ,
Chuí, Chuí
,, ,
Jamison, Jamison
,, ,
Guerrinha, Guerrinha
,, ,
Rato, Rato
e, e
Márcio, Márcio
;, ;
pivôs, pivôs
-, -
Rolando, Rolando
,, ,
Josuel, Josuel
,, ,
Luizão, Luizão
,, ,
Tonico, Tonico
,, ,
Pipoca, Pipoca
e, e
Olívia, Olívia
., .

, 

O, o
Sul-Americano, Sul-Americano
apontará, apontar
três, três
representantes, representante
da, de o
área, área
,, ,
além, além
da, de o
Argentina, Argentina
,, ,
para, para
as, o
disputas, disputa
do, de o
Torneio, Torneio
Pré-Olímpico, Pré-Olímpico
das, de o
Américas, Américas
,, ,
em, em
agosto, agosto
,, ,
na, em o
Argentina, Argentina
., .
Os, o
argentinos, argentino
já, já
têm, ter
vaga, vaga
assegurada, assegurar
porque, porque
promovem, promover
o, o
torneio, torneio
., .

, 

Participam, Participam
do, de o
Sul-Americano, Sul-Americano
:, :
Brasil, Brasil
,, ,
Argentina, Argentina
,, ,
Uruguai, Uruguai
,, ,
Venezuela, Venezuela
,, ,
Paraguai, Paraguai
e, e
Chile, Chile
., .

, 

O, o
Pré-Olímpico, Pré-Olímpico
classificará, classificar
três, três
times, time
para, para
a, a
Olimpíada-96, Olimpíada-96
., .
Na, em o
primeira, primeiro
fase, fase
,, ,
divididos, dividir
em, em
dois, dois
grupos, grupo
,, ,
dez, dez
países, país
jogam, jogar
em, em
Tucumán, Tucumán
(, (
norte, norte
da, de o
Argentina, Argentina
), )
., .

, 

Os, o
quatro, quatro
melhores, bom
de, de
cada, cada
grupo, grupo
seguem, seguir
para, para
a, o
cidade, cidade
de, de
Neuquém, Neuquém
,, ,
no, em o
sul, sul
,, ,
para, para
nova, novo
disputa, disputa
,, ,
divididos, dividir
em, em
duas, dois
novas, novo
chaves, chave
., .

, 

Para, para
essa, esse
etapa, etapa
,, ,
os, o
times, time
carregam, carregar
os, o
resultados, resultado
da, de o
fase, fase
de, de
Tucumán, Tucumán
., .
Os, o
dois, dois
melhores, bom
de, de
cada, cada
grupo, grupo
passam, passar
às, a o
semifinais, semifinal
., .

, 

