O, ﻿O
brasileiro, brasileiro
Fernando, Fernando
Meligeni, Meligeni
conseguiu, conseguir
ontem, ontem
passar, passar
por, por
seu, seu
primeiro, primeiro
adversário, adversário
no, em o
torneio, torneio
masculino, masculino
de, de
Roland, Roland
Garros, Garros
., .

, 

Meligeni, Meligeni
,, ,
79º, 79º
no, em o
ranking, ranking
mundial, mundial
,, ,
superou, superar
Petr, Petr
Korda, Korda
(, (
60º, 60º
), )
,, ,
da, de o
República, República
Tcheca, Tcheca
,, ,
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/4, 6/4
,, ,
6/4, 6/4
e, e
6/4, 6/4
), )
., .

, 

A, o
decepção, decepção
de, de
ontem, ontem
ficou, ficar
por, por
conta, conta
do, de o
croata, croata
Goran, Goran
Ivanisevic, Ivanisevic
(, (
4º, 4º
do, de o
mundo, mundo
), )
,, ,
que, que
acabou, acabar
eliminado, eliminar
pelo, por o
sueco, sueco
Mikael, Mikael
Tillstrom, Tillstrom
(, (
141º, 141º
do, de o
mundo, mundo
), )
por, por
3, 3
sets, set
a, a
0, 0
(, (
7/5, 7/5
,, ,
6/3, 6/3
e, e
6/4, 6/4
), )
., .

, 

Já, já
o, o
alemão, alemão
Boris, Boris
Becker, Becker
passou, passar
pelo, por o
argentino, argentino
Javier, Javier
Frana, Frana
(, (
parciais, parcial
de, de
7/6, 7/6
(, (
8/6, 8/6
), )
,, ,
6/4, 6/4
e, e
6/3, 6/3
), )
,, ,
também, também
pela, por o
1ª, 1ª
rodada, rodada
do, de o
torneio, torneio
francês, francês
do, de o
Grand, Grand
Slam, Slam
(, (
circuito, circuito
que, que
reúne, reunir
as, o
quatro, quatro
principais, principal
competições, competição
do, de o
tênis, tênis
mundial, mundial
), )
., .

, 

Outros, outro
favoritos, favorito
que, que
confirmaram, confirmar
suas, seu
condições, condição
foram, ser
o, o
espanhol, espanhol
Sergi, Sergi
Bruguera, Bruguera
,, ,
que, que
venceu, vencer
o, o
australiano, australiano
Patrick, Patrick
Rafter, Rafter
por, por
3, 3
a, a
0, 0
,, ,
parciais, parcial
de, de
6/3, 6/3
,, ,
6/1, 6/1
e, e
7/6, 7/6
(, (
7/3, 7/3
), )
,, ,
e, e
o, o
norte-americano, norte-americano
Michael, Michael
Chang, Chang
,, ,
que, que
eliminou, eliminar
o, o
italiano, italiano
Diego, Diego
Nargiso, nargiso
também, também
por, por
3, 3
a, a
0, 0
(, (
6/3, 6/3
,, ,
6/4, 6/4
e, e
6/1, 6/1
), )
., .

, 

Na, em o
vitória, vitória
mais, mais
expressiva, expressivo
da, de o
primeira, primeiro
rodada, rodada
do, de o
torneio, torneio
feminino, feminino
,, ,
a, o
espanhola, espanhola
Conchita, Conchita
Martinez, Martinez
derrotou, derrotar
a, o
alemã, alemã
Sabine, Sabine
Hack, Hack
,, ,
em, em
duas, dois
parciais, parcial
de, de
6/0, 6/0
., .

, 

Martinez, Martinez
é, ser
treinada, treinar
pelo, por o
brasileiro, brasileiro
Carlos, Carlos
Alberto, Alberto
Kirmayr, Kirmayr
., .

, 

