Pela, ﻿Pela
Série, Série
B, B
da, de o
Copa, Copa
São, São
Paulo, Paulo
de, de
Futebol, Futebol
Júnior, Júnior
,, ,
o, o
Flamengo, Flamengo
enfrenta, enfrentar
hoje, hoje
no, em o
estádio, estádio
do, de o
Sesi, sesi
,, ,
em, em
Osasco, Osasco
(, (
SP, SP
), )
,, ,
a, o
equipe, equipe
japonesa, japonês
do, de o
Nagoya, Nagoya
., .
Ambas, Ambas
as, o
equipes, equipe
vêm, vir
de, de
derrotas, derrota
na, em o
primeira, primeiro
rodada, rodada
da, de o
competição, competição
e, e
precisam, precisar
vencer, vencer
para, para
continuar, continuar
com, com
chances, chance
de, de
se, se
classificar, classificar
para, para
a, o
próxima, próximo
fase, fase
., .

, 

O, o
Flamengo, Flamengo
estreou, estrear
mal, mal
na, em o
Copa, copa
,, ,
perdendo, perder
,, ,
no, em o
último, último
sábado, sábado
,, ,
para, para
o, o
Corinthians, Corinthians
de, de
Presidente, Presidente
Prudente, prudente
por, por
1, 1
a, a
0, 0
., .
O, o
gol, gol
da, de o
equipe, equipe
paulista, paulista
foi, ser
marcado, marcar
por, por
Edson, Edson
Costa, Costa
., .
Para, para
a, o
partida, partida
de, de
hoje, hoje
,, ,
o, o
técnico, técnico
Marcos, Marcos
César, César
não, não
contará, contar
com, com
o, o
lateral-esquerdo, lateral-esquerdo
Leonardo, Leonardo
Inácio, Inácio
,, ,
expulso, expulso
no, em o
jogo, jogo
de, de
sábado, sábado
., .
Além, além
disso, de isso
,, ,
o, o
atacante, atacante
Pintinho, Pintinho
se, se
contundiu, contundir
no, em o
treino, treino
de, de
ontem, ontem
e, e
é, ser
dúvida, dúvida
., .
Mas, mas
o, o
atacante, atacante
tem, ter
boas, bom
chances, chance
de, de
jogar, jogar
., .

, 

O, o
Nagoya, Nagoya
,, ,
que, que
não, não
tem, ter
pretensões, pretensão
ao, a o
título, título
da, de o
Copa, copa
São, São
Paulo, Paulo
,, ,
fazendo, fazer
um, um
", "
estágio, estágio
", "
no, em o
Brasil, Brasil
,, ,
foi, ser
derrotado, derrotar
anteontem, anteontem
pelo, por o
Guarani, Guarani
por, por
3, 3
a, a
0, 0
., .
Mesmo, mesmo
com, com
o, o
apoio, apoio
da, de o
torcida, torcida
que, que
esteve, estar
no, em o
estádio, estádio
Municipal, Municipal
de, de
Guarulhos, Guarulhos
,, ,
os, o
japoneses, japonês
mostraram, mostrar
muita, muito
insegurança, insegurança
., .
O, o
destaque, destaque
da, de o
equipe, equipe
foi, ser
o, o
meia-direita, meia-direita
Ibata.(MT, Ibata.(MT
), )

, 

