Três, ﻿Três
fracassos, fracasso
seguidos, seguir
no, em o
Super, Super
Bowl, Bowl
não, não
auxiliam, auxiliar
a, o
causa, causa
do, de o
Buffalo, Buffalo
Bills, Bills
em, em
busca, busca
da, de o
reabilitação, reabilitação
., .
Depois, depois
da, de o
derrota, derrota
de, de
93, 93
,, ,
o, o
dono, dono
do, de o
clube, clube
,, ,
Ralph, Ralph
Wilson, Wilson
,, ,
demitiu, demitir
o, o
general, general
manager, manager
Bill, Bill
Polian, Polian
., .
Logo, logo
também, também
saíram, sair
o, o
coordenador, coordenador
defensivo, defensivo
Ted, Ted
Marchibroda, Marchibroda
e, e
o, o
diretor, diretor
de, de
pessoal, pessoal
Johnny, Johnny
Ferguson, Ferguson
,, ,
um, um
antigo, antigo
astro, astro
do, de o
time, time
., .
Uma, um
quarta, quarto
tragédia, tragédia
poderá, poder
custar, custar
a, o
cabeça, cabeça
do, de o
treinador, treinador
Marv, Marv
Levy, Levy
., .

, 

Um, um
homem, homem
discreto, discreto
e, e
contido, contir
,, ,
Levy, Levy
comanda, comandar
os, o
seus, seu
jogadores, jogador
de, de
uma, um
maneira, maneira
bem, bem
diferente, diferente
do, de o
seu, seu
rival, rival
de, de
Dallas, Dallas
., .
Enquanto, enquanto
Jimmy, Jimmy
Johnson, Johnson
distribui, distribuir
beijos, beijo
e, e
safanões, safanão
,, ,
Levy, Levy
se, se
limita, limitar
a, a
uma, um
liderança, liderança
natural, natural
,, ,
intelectual, intelectual
., .

, 

Embora, embora
conceda, concedar
muita, muito
liberdade, liberdade
de, de
opinião, opinião
ao, a o
seu, seu
supervisor, supervisor
de, de
ataque, ataque
,, ,
Tom, Tom
Bresnahan, Bresnahan
,, ,
o, o
mister, mister
define, definir
pessoalmente, pessoalmente
todas, todo
as, o
suas, seu
táticas, tática
nas, em o
preleções, preleção
de, de
cada, cada
jogo, jogo
., .
O, o
seu, seu
quarterback, quarterback
Jim, Jim
Kelly, Kelly
entra, entrar
no, em o
gramado, gramado
com, com
o, o
combate, combate
praticamente, praticamente
montado, montar
na, em o
cabeça, cabeça
., .

, 

A, o
qualidade, qualidade
de, de
Levy, Levy
,, ,
ironicamente, ironicamente
,, ,
é, ser
a, o
sua, seu
invirtude, invirtude
., .
O, o
grupo, grupo
segue, seguir
as, o
direções, direção
indicadas, indicar
pelo, por o
líder, líder
,, ,
não, não
contesta, contestar
o, o
treinador, treinador
–, –
e, e
por, por
isso, isso
não, não
sabe, saber
improvisar, improvisar
nos, em o
instantes, instante
em, em
que, que
a, o
estratégia, estratégia
falha, falha
e, e
o, o
coração, coração
precisa, precisar
dominar, dominar
o, o
raciocínio, raciocínio
., .

, 

Ocorreu, Ocorreu
esse, esse
tipo, tipo
de, de
infortúnio, infortúnio
com, com
os, o
Bills, Bills
nas, em o
goleadas, goleada
do, de o
Super, Super
Bowl, Bowl
de, de
92, 92
e, e
93, 93
., .
San, San
Francisco, Francisco
e, e
Dallas, Dallas
dilapidaram, dilapidar
Buffalo, Buffalo
com, com
a, o
meticulosidade, meticulosidade
fria, frio
de, de
um, um
esfolador, esfolador
de, de
animais, animal
., .

, 

Que, que
chances, chance
têm, ter
os, o
Bills, Bills
de, de
uma, um
vitória, vitória
hoje, hoje
?, ?
Boa, Boa
parte, parte
da, de o
sua, seu
fortuna, fortuna
está, estar
nas, em o
mãos, mão
de, de
dois, dois
de, de
seus, seu
superastros, superastro
de, de
defesa, defesa
,, ,
o, o
linebacker, linebacker
Bruce, Bruce
Smith, Smith
e, e
o, o
lateral, lateral
Nate, Nate
Odornes, Odornes
., .

, 

No, em o
ataque, ataque
,, ,
Jim, Jim
Kelly, Kelly
depende, depender
em, em
demasia, demasia
da, de o
veneta, veneta
do, de o
running, running
back, back
Thurman, Thurman
Thomas, Thomas
., .
(, (
SL, SL
), )

, 

