A, ﻿A
diretoria, diretoria
do, de o
Corinthians, Corinthians
tenta, tentar
nesta, em este
segunda-feira, segunda-feira
definir, definir
a, o
vinda, vinda
do, de o
atacante, atacante
Muller, Muller
,, ,
junto, junto
ao, a o
time, time
japonês, japonês
do, de o
Kashiwa, Kashiwa
Reysol, Reysol
,, ,
por, por
empréstimo, empréstimo
até, até
o, o
final, final
do, de o
ano, ano
., .

, 

Segundo, segundo
Carlos, Carlos
Antônio, Antônio
Palmares, Palmares
,, ,
procurador, procurador
de, de
Muller, Muller
,, ,
o, o
jogador, jogador
chega, chegar
a, a
São, São
Paulo, Paulo
na, em o
próxima, próximo
segunda-feira, segunda-feira
e, e
vai, ir
diretamente, diretamente
se, se
reunir, reunir
com, com
os, o
dirigentes, dirigente
., .

, 

`, `
`, `
Acho, achar
que, que
os, o
japoneses, japonês
não, não
irão, ir
liberá-lo, liberar ele
por, por
empréstimo, empréstimo
'', ''
,, ,
disse, dizer
Palmares, Palmares
., .
O, o
passe, passe
de, de
Muller, Muller
está, estar
avaliado, avaliado
em, em
US$, US$
2, 2
milhões, milhão
., .

, 

O, o
ex-são-paulino, ex-são-paulino
,, ,
que, que
recebe, receber
salários, salário
de, de
US$, US$
100, 100
mil, mil
no, em o
Japão, Japão
,, ,
pode, poder
assinar, assinar
com, com
o, o
Corinthians, Corinthians
pela, por o
metade, metade
do, de o
valor, valor
., .

, 

O, o
Corinthians, Corinthians
considera, considerar
o, o
valor, valor
do, de o
passe, passe
`, `
`, `
fora, fora
dos, de o
padrões, padrão
brasileiros, brasileiro
'', ''
., .

, 

Quanto, quanto
ao, a o
salário, salário
,, ,
José, José
Mansur, Mansur
Farah, Farah
,, ,
vice-presidente, vice-presidente
de, de
futebol, futebol
,, ,
disse, dizer
que, que
R$, R$
30, 30
mil, mil
é, ser
o, o
`, `
`, `
teto, teto
'', ''
do, de o
clube, clube
., .

, 

Muller, Muller
foi, ser
negociado, negociar
no, em o
final, final
do, de o
ano, ano
,, ,
mas, mas
não, não
`, `r
`, `
conseguiu, conseguir
se, se
ambientar, ambientar
'', ''
no, em o
novo, novo
país, país
., .

, 

Amanhã, amanhã
chega, chegar
a, a
São, São
Paulo, Paulo
,, ,
vindo, vir
de, de
Valencia, Valencia
,, ,
o, o
vice-presidente, vice-presidente
corintiano, corintiano
Hermes, Hermes
de, de
Rosa, Rosa
., .
O, o
dirigente, dirigente
vai, ir
trazer, trazer
as, o
bases, base
do, de o
contrato, contrato
do, de o
atacante, atacante
Viola, Viola
,, ,
com, com
o, o
clube, clube
espanhol, espanhol
., .

, 

Na, em o
próxima, próximo
semana, semana
,, ,
Viola, Viola
deve, dever
viajar, viajar
para, para
fazer, fazer
exames, exame
médicos, médico
., .
E, e
o, o
Corinthians, Corinthians
deverá, dever
receber, receber
a, o
primeira, primeiro
parcela, parcela
do, de o
pagamento, pagamento
do, de o
passe, passe
do, de o
jogador, jogador
., .

, 

