A, ﻿A
maior, grande
preocupação, preocupação
de, de
diretores, diretor
e, e
comissão, comissão
técnica, técnico
do, de o
Guarani, Guarani
para, para
a, o
partida, partida
de, de
hoje, hoje
contra, contra
o, o
São, São
Paulo, Paulo
é, ser
um, um
suposto, suposto
esquema, esquema
de, de
arbitragem, arbitragem
para, para
favorecer, favorecer
o, o
adversário, adversário
., .
Segundo, segundo
o, o
diretor, diretor
do, de o
departamento, departamento
amador, amador
do, de o
Guarani, Guarani
,, ,
Henrique, Henrique
Smannio, Smannio
,, ,
todos, todo
os, o
fatores, fator
indicam, indicar
o, o
favoritismo, favoritismo
do, de o
São, São
Paulo, Paulo
,, ,
inclusive, inclusive
a, o
arbitragem, arbitragem
., .
", "
Em, em
todos, todo
os, o
jogos, jogo
do, de o
São, São
Paulo, Paulo
sempre, sempre
houve, haver
um, um
jogador, jogador
adversário, adversário
expulso, expulso
e, e
eu, eu
acho, achar
que, que
para, para
os, o
organizadores, organizador
é, ser
mais, mais
interessante, interessante
que, que
o, o
São, São
Paulo, Paulo
seja, ser
o, o
campeão, campeão
., .
Outro, outro
fator, fator
é, ser
que, que
o, o
Guarani, Guarani
já, já
jogou, jogar
em, em
quatro, quatro
ou, ou
cinco, cinco
estádios, estádio
diferentes, diferente
,, ,
sempre, sempre
viajando, viajar
de, de
um, um
para, para
outro, outro
,, ,
enquanto, enquanto
o, o
São, São
Paulo, Paulo
só, só
jogou, jogar
no, em o
Pacaembu, Pacaembu
", "
,, ,
disse, dizer
Smannio, Smannio
., .

, 

O, o
treinador, treinador
Pupo, Pupo
Gimenez, Gimenez
concorda, concordar
com, com
o, o
diretor, diretor
,, ,
principalmente, principalmente
depois, depois
das, de o
semifinais, semifinal
., .
", "
Eu, eu
acho, achar
muito, muito
estranho, estranho
que, que
num, em um
jogo, jogo
semifinal, semifinal
como, como
o, o
nosso, nosso
contra, contra
o, o
Londrina, Londrina
,, ,
o, o
juiz, juiz
tenha, ter
expulsado, expulsar
dois, dois
de, de
cada, cada
lado, lado
,, ,
ou, ou
seja, ser
,, ,
quem, quem
chegasse, chegar
à, a o
final, final
já, já
entraria, entrar
desfalcado, desfalcar
., .
Além, além
disso, de isso
,, ,
a, o
expulsão, expulsão
do, de o
goleiro, goleiro
do, de o
Inter, Inter
(, (
RS, RS
), )
contra, contra
o, o
São, São
Paulo, Paulo
foi, ser
esquisita, esquisitar
", "
,, ,
disse, dizer
., .

, 

Para, para
o, o
jogo, jogo
de, de
hoje, hoje
,, ,
o, o
técnico, técnico
do, de o
Guarani, Guarani
,, ,
Pupo, Pupo
Gimenez, Gimenez
,, ,
não, não
poderá, poder
contar, contar
com, com
a, o
dupla, dupla
de, de
zagueiros, zagueiro
Ronaldo, Ronaldo
e, e
Amaral, Amaral
,, ,
expulsos, expulso
na, em o
vitória, vitória
sobre, sobre
o, o
Londrina, Londrina
pela, por o
semifinais, semifinal
., .
Em, em
seu, seu
lugar, lugar
vão, ir
entrar, entrar
Carlinhos, Carlinhos
e, e
Helton, Helton
(, (
zagueiro, zagueiro
da, de o
equipe, equipe
juvenil, juvenil
), )
., .

, 

Segundo, segundo
Gimenez, Gimenez
,, ,
os, o
ausentes, ausente
vão, ir
fazer, fazer
muita, muito
falta, falta
,, ,
embora, embora
taticamente, taticamente
o, o
time, time
não, não
vá, ir
sofrer, sofrer
alterações, alteração
., .
", "
O, o
Helton, Helton
vai, ir
jogar, jogar
igual, igual
ao, a o
Ronaldo, Ronaldo
,, ,
como, como
último, último
homem, homem
,, ,
enquanto, enquanto
o, o
Carlinhos, Carlinhos
vai, ir
sair, sair
para, para
dar, dar
o, o
primeiro, primeiro
combate, combate
,, ,
assim, assim
como, como
o, o
Amaral, Amaral
., .
O, o
que, que
muda, mudar
é, ser
a, o
experiência, experiência
., .
O, o
Ronaldo, Ronaldo
,, ,
por, por
exemplo, exemplo
,, ,
já, já
treina, treiner
entre, entre
os, o
profissionais, profissional
., .
O, o
Helton, Helton
tem, ter
apenas, apenas
17, 17
anos, ano
e, e
subiu, subir
para, para
os, o
juniores, juniores
este, este
ano, ano
", "
,, ,
disse, dizer
o, o
treinador, treinador
., .

, 

