O, ﻿O
futebol, futebol
paulista, paulista
está, estar
perdendo, perder
a, o
graça, graça
., .
Ou, ou
,, ,
pelo, por o
menos, menos
,, ,
parte, parte
dela, de ela
,, ,
com, com
as, o
despedidas, despedida
de, de
Edmundo, Edmundo
e, e
Viola, Viola
., .

, 

Edmundo, edmur
,, ,
quando, quando
abre, abrir
a, o
boca, boca
,, ,
não, não
tem, ter
graça, graça
nenhuma, nenhum
., .
Provoca, Provoca
lágrimas, lágrima
..., ...
de, de
ódio, ódio
ou, ou
de, de
desespero, desespero
quanto, quanto
ao, a o
futuro, futuro
da, de o
raça, raça
humana, humano
., .
Mas, mas
,, ,
com, com
a, o
bola, bola
nos, em o
pés, pé
,, ,
ilumina, iluminar
um, um
Morumbi, Morumbi
mergulhado, mergulhar
em, em
trevas, treva
só, só
com, com
o, o
sorriso, sorriso
da, de o
galera, galera
., .

, 

Ainda, ainda
ontem, ontem
,, ,
ouvi, ouvir
de, de
Cláudio, Cláudio
Carsughi, Carsughi
uma, um
definição, definição
correta, correto
:, :
para, para
o, o
Palmeiras, Palmeiras
de, de
hoje, hoje
,, ,
Edmundo, Edmundo
é, ser
essencial, essencial
;, ;
mas, mas
,, ,
no, em o
Santos, Santos
de, de
Pelé, Pelé
,, ,
seria, ser
reserva, reserva
., .
A, a
rigor, rigor
,, ,
Edmundo, Edmundo
talvez, talvez
tenha, ter
mais, mais
defeitos, defeito
que, que
virtudes, virtude
,, ,
dentro, dentro
das, de o
quatro, quatro
linhas, linha
., .
Seu, seu
senso, senso
de, de
solidariedade, solidariedade
é, ser
zero, zero
,, ,
e, e
ele, ele
próprio, próprio
me, eu
confessou, confessar
que, que
seu, seu
maior, grande
problema, problema
é, ser
no, em o
arremesso, arremesso
final, final
a, a
gol, gol
., .

, 

Na, em o
verdade, verdade
,, ,
Edmundo, Edmundo
pertence, pertencer
a, a
uma, um
estirpe, estirpe
de, de
jogadores, jogador
solitários, solitário
,, ,
que, que
só, só
conseguem, conseguir
ter, ter
afinidade, afinidade
íntima, íntimo
,, ,
e, e
até, até
compulsiva, compulsiva
,, ,
com, com
a, o
bola, bola
., .
Ele, ele
e, e
a, o
bola, bola
,, ,
fim, fim
., .
Ou, ou
o, o
começo, começo
de, de
um, um
ato, ato
que, que
oscila, oscila
entre, entre
a, o
comédia, comédia
e, e
a, o
tragédia, tragédia
:, :
se, se
está, estar
num, em um
dia, dia
propício, propício
,, ,
desmonta, desmontar
qualquer, qualquer
retranca, retranca
,, ,
pois, pois
,, ,
com, com
seus, seu
dribles, drible
desmoralizantes, desmoralizante
,, ,
extrai, extrai
de, de
cada, cada
adversário, adversário
a, o
alma, alma
de, de
vencedor, vencedor
,, ,
inoculando-lhes, inoculando-lhes
o, o
pior, mau
de, de
todos, todo
os, o
sentimentos, sentimento
:, :
a, o
humilhação, humilhação
., .

, 

Nessas, em essa
ocasiões, ocasião
,, ,
faz-me, faz-me
lembrar, lembrar
um, um
pouco, pouco
de, de
Mané, Mané
Garrincha, Garrincha
,, ,
de, de
Luisinho, Luisinho
Trujillo, Trujillo
., .
Só, só
que, que
,, ,
ao, a o
contrário, contrário
dessas, de esse
doces, doce
personalidades, personalidade
,, ,
tem, ter
um, um
gênio, gênio
do, de o
cão, cão
., .
E, e
é, ser
isso, isso
que, que
transforma, transformar
a, o
comédia, comédia
em, em
tragédia, tragédia
,, ,
ou, ou
num, em um
cinzento, cinzento
drama, drama
B., B.

, 

Já, já
Viola, Viola
,, ,
não, não
., .
Viola, Viola
costumava, costumar
ser, ser
um, um
sarro, sarro
,, ,
dentro, dentro
e, e
