Um, ﻿Um
garoto, garoto
negro, negro
que, que
fará, fazer
19, 19
anos, ano
no, em o
dia, dia
1º, 1º
de, de
julho, julho
e, e
outro, outro
garoto, garoto
negro, negro
que, que
fará, fazer
19, 19
anos, ano
no, em o
dia, dia
1º, 1º
de, de
agosto, agosto
ganharam, ganhar
a, o
Copa, copa
dos, de o
Campeões, Campeões
da, de o
Europa, Europa
de, de
1995, 1995
., .

, 

Os, o
dois, dois
entraram, entrar
na, em o
etapa, etapa
final, final
no, em o
time, time
do, de o
Ajax, ajax
,, ,
de, de
Amsterdã, Amsterdã
., .
O, o
primeiro, primeiro
,, ,
Patrick, Patrick
Kluivert, Kluivert
,, ,
entrou, entrar
aos, a o
25min, 25min
,, ,
no, em o
lugar, lugar
do, de o
principal, principal
artilheiro, artilheiro
do, de o
time, time
,, ,
Litmanen, Litmanen
., .

, 

Quatorze, quatorze
minutos, minuto
depois, depois
,, ,
a, a
seis, seis
do, de o
fim, fim
da, de o
partida, partida
,, ,
ele, ele
marcou, marcar
o, o
gol, gol
que, que
fez, fazer
a, o
final, final
,, ,
a, o
14ª, 14ª
(, (
em, em
40, 40
), )
,, ,
terminar, terminar
com, com
vitória, vitória
de, de
1, 1
a, a
0, 0
., .

, 

O, o
outro, outro
,, ,
o, o
gigante, gigante
nigeriano, nigeriano
de, de
1m97, 1m97
,, ,
Nwankwo, Nwankwo
Kanu, Kanu
,, ,
entrou, entrar
logo, logo
aos, a o
3min, 3min
,, ,
no, em o
lugar, lugar
de, de
Seedor, Seedor
., .

, 

Kanu, Kanu
mudou, mudar
o, o
panorama, panorama
de, de
um, um
jogo, jogo
que, que
,, ,
a, a
prevalecer, prevalecer
o, o
1º, 1º
tempo, tempo
,, ,
estava, estar
fadado, fadado
a, a
ser, ser
vencido, vencer
pelo, por o
adversário, adversário
do, de o
Ajax, Ajax
,, ,
o, o
Milan, Milan
., .

, 

Com, com
a, o
sua, seu
entrada, entrada
,, ,
o, o
técnico, técnico
do, de o
Ajax, Ajax
,, ,
Louis, Louis
Van, Van
Gaal, Gaal
,, ,
recuou, recuar
o, o
eficiente, eficiente
Ronald, Ronald
de, de
Boer, Boer
para, para
o, o
meio-de-campo, meio-de-campo
e, e
reverteu, reverter
a, o
hegemonia, hegemonia
do, de o
Milan, Milan
no, em o
setor, setor
., .

, 

Em, em
busca, busca
do, de o
santo, santo
Gaal, Gaal
:, :
com, com
o, o
jogo, jogo
empatado, empatar
sem, sem
gols, gol
,, ,
e, e
sentindo, sentir
