Uma, ﻿Uma
falha, falha
na, em o
estatística, estatística
oficial, oficial
da, de o
carreira, carreira
de, de
Pelé, Pelé
fez, fazer
com, com
que, que
o, o
seu, seu
milésimo, milésimo
gol, gol
fosse, ser
comemorado, comemorar
na, em o
data, data
errada, errar
., .

, 

O, o
verdadeiro, verdadeiro
`, `
`, `
gol, gol
mil, mil
'', ''
aconteceu, acontecer
na, em o
Paraíba, Paraíba
,, ,
no, em o
jogo, jogo
Botafogo, Botafogo
/, /
PB, PB
0, 0
x, x
3, 3
Santos, Santos
,, ,
no, em o
dia, dia
14, 14
de, de
novembro, novembro
de, de
1969, 1969
., .

, 

Até, até
o, o
último, último
domingo, domingo
,, ,
quando, quando
a, o
Folha, folha
publicou, publicar
a, o
nova, novo
lista, lista
de, de
gols, gol
do, de o
jogador, jogador
,, ,
acreditava-se, acreditava-se
que, que
o, o
milésimo, milésimo
gol, gol
acontecera, acontecerar
no, em o
Maracanã, maracanã
,, ,
no, em o
dia, dia
19, 19
de, de
novembro, novembro
,, ,
em, em
jogo, jogo
do, de o
Santos, Santos
contra, contra
o, o
Vasco, Vasco
., .

, 

O, o
erro, erro
de, de
contagem, contagem
foi, ser
constatado, constatar
em, em
um, um
jogo, jogo
de, de
1959, 1959
_, _
quando, quando
Pelé, Pelé
servia, servia
o, o
Exército, Exército
_, _
,, ,
válido, válido
pelo, por o
primeiro, primeiro
Sul-Americano, Sul-Americano
Militar, Militar
de, de
Futebol, Futebol
., .

, 

Pelo, por o
levantamento, levantamento
oficial, oficial
,, ,
feito, fazer
pelo, por o
jornalista, jornalista
De, de
Vaney, Vaney
,, ,
o, o
jogo, jogo
entre, entre
as, o
Forças, Forças
Armadas, Armadas
do, de o
Brasil, Brasil
e, e
do, de o
Paraguai, Paraguai
teria, ter
acontecido, acontecer
em, em
5, 5
de, de
novembro, novembro
de, de
1959, 1959
e, e
terminado, terminar
4, 4
a, a
3, 3
para, para
os, o
brasileiros, brasileiro
., .
Sem, sem
gols, gol
de, de
Pelé, Pelé
., .

, 

A, o
Folha, Folha
,, ,
porém, porém
,, ,
descobriu, descobrir
_, _
checando, checar
12, 12
jornais, jornal
,, ,
súmulas, súmula
do, de o
Santos, Santos
e, e
arquivos, arquivo
fotográficos, fotográfico
_, _
que, que
os, o
dados, dado
estão, estar
errados, errado
., .

, 

A, o
partida, partida
do, de o
Sul-Americano, Sul-Americano
ocorreu, ocorrer
em, em
18, 18
de, de
novembro, novembro
,, ,
terminou, terminar
4, 4
a, a
1, 1
para, para
o, o
time, time
brasileiro, brasileiro
e, e
Pelé, Pelé
marcou, marcar
um, um
gol, gol
,, ,
o, o
segundo, segundo
do, de o
jogo, jogo
., .

, 

O, o
verdadeiro, verdadeiro
`, `
`, `
gol, gol
mil, mil
'', ''
só, só
teve, ter
uma, um
semelhança, semelhança
com, com
o, o
`, `
`, `
gol, gol
1.001, 1.001
'', ''
,, ,
sofrido, sofrer
por, por
Andrada, Andrada
,, ,
do, de o
Vasco, Vasco
:, :
foi, ser
de, de
pênalti, pênalti
., .

, 

Pelé, Pelé
fez, fazer
ainda, ainda
`, `
`, `
outro, outro
milésimo, milésimo
gol, gol
'', ''
,, ,
82, 82
dias, dia
depois, depois
., .

, 

Os, o
jogos, jogo
do, de o
Exército, Exército
não, não
eram, ser
oficiais, oficial
., .
Não, não
eram, ser
,, ,
também, também
,, ,
jogos, jogo
profissionais, profissional
., .
Pelé, Pelé
nada, nada
recebia, receber
., .

, 

Por, por
esse, esse
motivo, motivo
,, ,
o, o
jogador, jogador
fez, fazer
um, um
`, `
`, `
outro, outro
milésimo, milésimo
gol, gol
'', ''
,, ,
o, o
profissional, profissional
,, ,
no, em o
dia, dia
4, 4
de, de
fevereiro, fevereiro
de, de
1970, 1970
,, ,
em, em
Santiago, Santiago
(, (
Chile, Chile
), )
., .

, 

Apesar, apesar
de, de
contar, contar
os, o
jogos, jogo
não-oficiais, não-oficial
,, ,
a, o
lista, lista
oficial, oficial
,, ,
corrigida, corriger
e, e
publicada, publicar
pela, por o
Folha, folha
no, em o
domingo, domingo
,, ,
não, não
inclui, incluir
jogos-treino, jogos-treino
., .

, 

