Turista, ﻿Turista
", "
,, ,
de, de
Anthony, Anthony
Pereira, Pereira
e, e
Nick, Nick
Skidmore, Skidmore
,, ,
tradução, tradução
de, de
Sônia, Sônia
Siessere, Siessere
,, ,
252, 252
páginas, página
,, ,
Editora, Editora
Globo, Globo
(, (
011-874-6372, 011-874-6372
), )
,, ,
CR$, CR$
7.600,00, 7.600,00
–, –
algumas, algum
livrarias, livraria
têm, ter
preços, preço
menores, pequeno
(, (
na, em o
La, La
Selva, Selva
do, de o
shopping, shopping
West, West
Plaza, Plaza
,, ,
tel., tel.
011-263-5789, 011-263-5789
,, ,
", "
Roma, Roma
", "
sai, sair
por, por
CR$, CR$
4.050,00, 4.050,00
), )
., .

, 

