TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿A, ﻿a, ﻿A, ADP, False
organização, organização, organização, NOUN, False
da, da, de o, ADP, True
Copa, copa, copa, NOUN, False
destinou, destin, destinar, VERB, False
ao, ao, a o, ADP, True
Brasil, brasil, Brasil, PROPN, False
2.500, 2.500, 2.500, NUM, False
ingressos, ingresso, ingresso, NOUN, False
,, ,, ,, PUNCT, False
o, o, o, PRON, True
que, que, que, PRON, True
possibilita, possibilita, possibilitar, VERB, False
a, a, o, DET, True
venda, venda, venda, NOUN, False
de, de, de, ADP, True
4.500, 4.500, 4.500, NUM, False
pacotes, pacot, pacote, NOUN, False
., ., ., PUNCT, False
Foram, foram, ser, AUX, True
nomeadas, nomeada, nomear, VERB, False
quatro, quatro, quatro, NUM, True
agências, agência, agência, NOUN, False
oficiais, oficiai, oficial, ADJ, False
:, :, :, PUNCT, False
Agaxtur, agaxtur, Agaxtur, PROPN, False
,, ,, ,, PUNCT, False
Stella, stella, Stella, PROPN, False
Barros, barro, Barros, PROPN, False
,, ,, ,, PUNCT, False
Monark, monark, Monark, PROPN, False
(, (, (, PUNCT, False
atuando, atuando, atuar, VERB, False
em, em, em, ADP, True
", ", ", PUNCT, False
pool, pool, pool, NOUN, False
", ", ", NUM, False
), ), ), PUNCT, False
e, e, e, CCONJ, True
Euro, euro, Euro, PROPN, False
Vip, vip, Vip, PROPN, False
's, 's, 's, PROPN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Os, os, o, DET, True
preços, preço, preço, NOUN, False
se, se, se, PRON, True
referem, referem, referir, VERB, False
à, à, a o, ADP, True
parte, part, parte, NOUN, True
terrestre, terrestr, terrestre, ADJ, False
., ., ., PUNCT, False
A, a, o, DET, True
aérea, aérea, aérea, NOUN, False
deve, deve, dever, VERB, True
custar, custar, custar, VERB, False
entre, entr, entre, ADP, True
US$, us$, US$, SYM, False
1.400, 1.400, 1.400, NUM, False
(, (, (, PUNCT, False
CR$, cr$, CR$, SYM, False
518, 518, 518, NUM, False
mil, mil, mil, NUM, True
), ), ), PUNCT, False
e, e, e, CCONJ, True
US$, us$, US$, SYM, False
1.500, 1.500, 1.500, NUM, False
(, (, (, PUNCT, False
CR$, cr$, CR$, SYM, False
555, 555, 555, NUM, False
mil, mil, mil, NUM, True
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
na, na, em o, ADP, True
primeira, primeira, primeiro, ADJ, True
fase, fase, fase, NOUN, False
,, ,, ,, PUNCT, False
e, e, e, CCONJ, True
US$, us$, US$, SYM, False
2.000, 2.000, 2.000, NUM, False
(, (, (, PUNCT, False
CR$, cr$, CR$, SYM, False
740, 740, 740, NUM, False
mil, mil, mil, NUM, True
), ), ), PUNCT, False
–, –, –, PROPN, False
Copa, copa, copa, NOUN, False
