TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Viajar, ﻿viajar, ﻿Viajar, VERB, False
em, em, em, ADP, True
excursão, excursão, excursão, NOUN, False
é, é, ser, AUX, True
um, um, um, DET, True
programa, programa, programa, NOUN, False
legal, legal, legal, ADJ, False
,, ,, ,, PUNCT, False
acredite, acredit, acreditar, VERB, False
., ., ., PUNCT, False
Mas, ma, mas, CCONJ, True
é, é, ser, AUX, True
indispensável, indispensável, indispensável, ADJ, False
colocar, colocar, colocar, VERB, False
na, na, em o, ADP, True
bagagem, bagagem, bagagem, NOUN, False
um, um, um, DET, True
certo, certo, certo, DET, False
espírito, espírito, espírito, NOUN, False
esportivo, esportivo, esportivo, ADJ, False
., ., ., PUNCT, False
Como, como, como, ADP, True
tudo, tudo, tudo, PRON, True
,, ,, ,, PUNCT, False
tem, tem, ter, VERB, True
prós, pró, pró, NOUN, False
e, e, e, CCONJ, True
contras, contra, contra, NOUN, False
., ., ., PUNCT, False
O, o, o, DET, True
melhor, melhor, bom, NOUN, False
é, é, ser, VERB, True
que, que, que, SCONJ, True
a, a, o, DET, True
viagem, viagem, viagem, NOUN, False
fica, fica, ficar, VERB, False
mais, mai, mais, ADV, True
divertida, divertida, divertido, ADJ, False
., ., ., PUNCT, False
E, e, e, CCONJ, True
também, também, também, ADV, True
mais, mai, mais, ADV, True
bem-planejada, bem-planejada, bem-planejada, ADJ, False
., ., ., PUNCT, False
O, o, o, DET, True
pior, pior, mau, NOUN, False
é, é, ser, VERB, True
que, que, que, SCONJ, True
às, às, a o, ADP, True
vezes, veze, vez, NOUN, True
você, você, você, PRON, True
faz, faz, fazer, VERB, True
o, o, o, PRON, True
que, que, que, PRON, True
não, não, não, ADV, True
quer, quer, querer, VERB, True
na, na, em o, ADP, True
hora, hora, hora, NOUN, False
que, que, que, SCONJ, True
o, o, o, DET, True
grupo, grupo, grupo, NOUN, True
quer, quer, querer, VERB, True
., ., ., PUNCT, False
E, e, e, CCONJ, True
tem, tem, ter, VERB, True
poucos, pouco, pouco, DET, False
momentos, momento, momento, NOUN, False
de, de, de, ADP, True
privacidade, privacidad, privacidade, NOUN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Os, os, o, DET, True
passageiros, passageiro, passageiro, NOUN, False
de, de, de, ADP, True
uma, uma, um, DET, True
excursão, excursão, excursão, NOUN, False
para, para, para, ADP, True
a, a, o, DET, True
Disney, disney, Disney, PROPN, False
(, (, (, PUNCT, False
veja, veja, ver, VERB, True
perfil, perfil, perfil, NOUN, False
ao, ao, a o, ADP, True
lado, lado, lado, NOUN, True
), ), ), PUNCT, False
quase, quas, quase, ADV, False
sempre, sempr, sempre, ADV, True
têm, têm, ter, VERB, True
dificuldades, dificuldad, dificuldade, NOUN, False
com, com, com, ADP, True
o, o, o, DET, True
inglês, inglê, inglês, NOUN, False
., ., ., PUNCT, False
Fazem, fazem, Fazem, VERB, True
,, ,, ,, PUNCT, False
em, em, em, ADP, True
geral, geral, geral, ADJ, True
,, ,, ,, PUNCT, False
sua, sua, seu, DET, True
segunda, segunda, segundo, ADJ, True
viagem, viagem, viagem, NOUN, False
internacional, internacion, internacional, ADJ, False
–, –, –, PUNCT, False
a, a, o, DET, True
