TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Sem, ﻿sem, ﻿Sem, ADJ, False
rodas, roda, roda, NOUN, False
,, ,, ,, PUNCT, False
Curitiba, curitiba, Curitiba, PROPN, False
não, não, não, ADV, True
mostra, mostra, mostrar, VERB, False
a, a, o, DET, True
sua, sua, seu, DET, True
face, face, face, NOUN, False
mais, mai, mais, ADV, True
moderna, moderna, moderno, ADJ, False
., ., ., PUNCT, False
Mesmo, mesmo, mesmo, ADV, True
que, que, que, SCONJ, True
alguns, algun, algum, DET, True
marcos, marco, marco, NOUN, False
possam, possam, poder, VERB, False
ser, ser, ser, AUX, True
vistos, visto, ver, VERB, False
a, a, a, ADP, True
pé, pé, pé, NOUN, False
,, ,, ,, PUNCT, False
nas, na, em o, ADP, True
paralelas, paralela, paralela, NOUN, False
da, da, de o, ADP, True
Linha, linha, Linha, PROPN, False
Pinhão, pinhão, Pinhão, NOUN, False
,, ,, ,, PUNCT, False
como, como, como, ADP, True
as, as, o, DET, True
estações-tubo, estações-tubo, estações-tubo, NOUN, False
da, da, de o, ADP, True
Rede, rede, Rede, PROPN, False
de, de, de, ADP, True
Linhas, linha, Linhas, PROPN, False
Diretas, direta, Diretas, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
Ligeirinho, ligeirinho, Ligeirinho, PROPN, False
,, ,, ,, PUNCT, False
e, e, e, CCONJ, True
a, a, o, DET, True
Rua, rua, Rua, PROPN, False
24, 24, 24, PROPN, False
Horas, hora, Horas, PROPN, False
,, ,, ,, PUNCT, False
só, só, só, ADV, True
de, de, de, ADP, True
carro, carro, carro, NOUN, False
ou, ou, ou, CCONJ, True
ônibus, ônibu, ônibus, NOUN, False
se, se, se, PRON, True
conhecem, conhecem, conhecer, VERB, False
equipamentos, equipamento, equipamento, NOUN, False
como, como, como, ADP, True
o, o, o, DET, True
Jardim, jardim, Jardim, PROPN, False
Botânico, botânico, Botânico, PROPN, False
e, e, e, CCONJ, True
a, a, o, DET, True
Opera, opera, Opera, PROPN, False
de, de, de, ADP, True
Arame, aram, Arame, PROPN, False
., ., ., PUNCT, False
Boas, boa, Boas, NOUN, False
idéias, idéia, idéia, ADJ, False
não, não, não, ADV, True
custam, custam, custar, VERB, False
muito, muito, muito, DET, True
dinheiro, dinheiro, dinheiro, NOUN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
As, as, o, DET, True
estações, estaçõ, estação, NOUN, False
do, do, de o, ADP, True
Ligeirinho, ligeirinho, Ligeirinho, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
metrô, metrô, metrô, NOUN, False
de, de, de, ADP, True
superfície, superfíci, superfície, NOUN, False
,, ,, ,, PUNCT, False
lembram, lembram, lembrar, VERB, False
antecipações, antecipaçõ, antecipação, NOUN, False
à, à, a o, ADP, True
", ", ", PROPN, False
la, la, la, PROPN, False
", ", ", PROPN, False
Metrópolis, metrópoli, Metrópolis, PROPN, False
., ., ., PUNCT, False
São, são, ser, AUX, True
12, 12, 12, NUM, False
linhas, linha, linha, NOUN, False
,, ,, ,, PUNCT, False
81, 81, 81, NUM, False
estações, estaçõ, estação, NOUN, False
e, e, e, CCONJ, True
156, 156, 156, NUM, False
ônibus, ônibu, ônibus, NOUN, False
que, que, que, PRON, True
transportam, transportam, transportar, VERB, False
200, 200, 200, NUM, False
mil, mil, mil, NUM, True
passageiros, passageiro, passageiro, NOUN, False
por, por, por, ADP, True
dia, dia, dia, NOUN, False
., ., ., PUNCT, False
Outra, outra, outro, DET, True
boa, boa, bom, ADJ, True
idéia, idéia, idéia, NOUN, False
é, é, ser, AUX, True
a, a, o, DET, True
Rua, rua, Rua, PROPN, False
24, 24, 24, PROPN, False
Horas, hora, Horas, PROPN, False
,, ,, ,, PUNCT, False
galeria, galeria, galeriar, NOUN, False
de, de, de, ADP, True
estrutura, estrutura, estrutura, NOUN, False
tubular, tubular, tubular, VERB, False
com, com, com, ADP, True
39, 39, 39, NUM, False
lojas, loja, loja, NOUN, False
que, que, que, PRON, True
funciona, funciona, funcionar, VERB, False
dia, dia, dia, NOUN, False
e, e, e, CCONJ, True
noite, noit, noite, NOUN, False
e, e, e, CCONJ, True
garante, garant, garantir, VERB, False
segurança, segurança, segurança, NOUN, False
para, para, para, ADP, True
os, os, o, DET, True
frequentadores, frequentador, frequentador, NOUN, False
–, –, –, NUM, False
a, a, o, DET, True
cobertura, cobertura, cobertura, NOUN, False
isola, isola, isol, VERB, False
o, o, o, DET, True
mau, mau, mau, ADJ, False
tempo, tempo, tempo, NOUN, True
., ., ., PUNCT, False
Fica, fica, ficar, VERB, False
na, na, em o, ADP, True
rua, rua, rua, PROPN, False
Visconde, viscond, Visconde, PROPN, False
de, de, de, ADP, True
Nacar, nacar, Nacar, PROPN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
O, o, o, DET, True
novo, novo, novo, ADJ, True
cartão-postal, cartão-post, cartão-postal, NOUN, False
da, da, de o, ADP, True
cidade, cidad, cidade, NOUN, False
está, está, estar, AUX, True
na, na, em o, ADP, True
