TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿O, ﻿o, ﻿O, VERB, False
time, time, time, NOUN, False
de, de, de, ADP, True
juniores, junior, juniores, NOUN, False
do, do, de o, ADP, True
Corinthians, corinthian, Corinthians, PROPN, False
é, é, ser, AUX, True
um, um, um, NUM, True
dos, do, de o, ADP, True
mais, mai, mais, ADV, True
baixos, baixo, baixo, NOUN, False
e, e, e, CCONJ, True
leves, leve, leve, ADJ, False
da, da, de o, ADP, True
25ª, 25ª, 25ª, ADJ, False
Copa, copa, copa, NOUN, False
São, são, São, PROPN, True
Paulo, paulo, Paulo, PROPN, False
., ., ., PUNCT, False
A, a, o, DET, True
média, média, média, NOUN, False
de, de, de, ADP, True
altura, altura, altura, NOUN, False
dos, do, de o, ADP, True
dez, dez, dez, NUM, True
jogadores, jogador, jogador, NOUN, False
de, de, de, ADP, True
linha, linha, linha, NOUN, False
é, é, ser, AUX, True
exatamente, exatament, exatamente, ADV, False
1,744, 1,744, 1,744, NUM, False
m., m., m., NOUN, False
Tirando, tirando, tirar, VERB, False
os, os, o, DET, True
dois, doi, dois, NUM, True
zagueiros, zagueiro, zagueiro, NOUN, False
,, ,, ,, PUNCT, False
ela, ela, ele, PRON, True
cai, cai, cair, VERB, False
abaixo, abaixo, abaixo, ADV, False
de, de, de, ADP, True
1,73, 1,73, 1,73, NUM, False
m., m., m., NOUN, False

, 
, 
, SPACE, False
", ", ", NUM, False
Não, não, não, ADV, True
somos, somo, ser, AUX, True
os, os, o, DET, True
mais, mai, mais, ADV, True
baixos, baixo, baixo, NOUN, False
., ., ., PUNCT, False
O, o, o, DET, True
Cruzeiro, cruzeiro, Cruzeiro, PROPN, False
era, era, ser, AUX, True
mais, mai, mais, ADV, True
", ", ", NUM, False
,, ,, ,, PUNCT, False
diz, diz, dizer, VERB, True
rindo, rindo, rir, VERB, False
o, o, o, DET, True
técnico, técnico, técnico, NOUN, False
Márcio, márcio, Márcio, PROPN, False
Araújo, araújo, Araújo, PROPN, False
., ., ., PUNCT, False
Com, com, com, ADP, True
1,88, 1,88, 1,88, NUM, False
m, m, m, NUM, False
,, ,, ,, PUNCT, False
ele, ele, ele, PRON, True
é, é, ser, AUX, True
mais, mai, mais, ADV, True
alto, alto, alto, ADJ, False
do, do, de o, ADP, True
que, que, que, PRON, True
todos, todo, todo, DET, True
os, os, o, DET, True
seus, seu, seu, DET, True
comandados, comandado, comandado, NOUN, False
,, ,, ,, PUNCT, False
inclusive, inclus, inclusive, ADV, True
os, os, o, DET, True
goleiros, goleiro, goleiro, PROPN, False
Edílson, edílson, Edílson, PROPN, False
(, (, (, PUNCT, False
1,84, 1,84, 1,84, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
e, e, e, CCONJ, True
Wellington, wellington, Wellington, PROPN, False
(, (, (, PUNCT, False
1,83, 1,83, 1,83, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
ex-São, ex-são, ex-São, NOUN, False
Paulo, paulo, Paulo, PROPN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Além, além, além, ADV, True
de, de, de, ADP, True
baixos, baixo, baixo, NOUN, False
,, ,, ,, PUNCT, False
os, os, o, DET, True
corintianos, corintiano, corintiano, NOUN, False
também, também, também, ADV, True
são, são, ser, AUX, True
leves, leve, leve, ADJ, False
,, ,, ,, PUNCT, False
os, os, o, DET, True
", ", ", NUM, False
pesos, peso, peso, NOUN, False
pena, pena, pena, NOUN, False
", ", ", ADJ, False
do, do, de o, ADP, True
futebol, futebol, futebol, NOUN, False
júnior, júnior, júnior, ADJ, False
., ., ., PUNCT, False
O, o, o, DET, True
lateral, later, lateral, NOUN, False
Tupã, tupã, Tupã, PROPN, False
,, ,, ,, PUNCT, False
1,73, 1,73, 1,73, NUM, False
m, m, m, NUM, False
,, ,, ,, PUNCT, False
que, que, que, PRON, True
ganhou, ganhou, ganhar, VERB, False
a, a, o, DET, True
posição, posição, posição, NOUN, True
do, do, de o, ADP, True
ex-titular, ex-titular, ex-titular, NOUN, False
Marcos, marco, Marcos, PROPN, False
Paulo, paulo, Paulo, PROPN, False
,, ,, ,, PUNCT, False
um, um, um, DET, True
centímetro, centímetro, centímetro, NOUN, False
mais, mai, mais, ADV, True
alto, alto, alto, ADJ, False
,, ,, ,, PUNCT, False
pesa, pesa, pesa, NOUN, False
55, 55, 55, NUM, False
kg, kg, kg, NOUN, False
,, ,, ,, PUNCT, False
recorde, record, recorde, NOUN, False
da, da, de o, ADP, True
equipe, equip, equipe, NOUN, False
., ., ., PUNCT, False
Seu, seu, seu, DET, True
peso, peso, peso, NOUN, False
é, é, ser, AUX, True
comparável, comparável, comparável, ADJ, False
ao, ao, a o, ADP, True
do, do, de o, ADP, True
bicampeão, bicampeão, bicampeão, NOUN, False
da, da, de o, ADP, True
São, são, São, PROPN, True
Silvestre, silvestr, Silvestre, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
queniano, queniano, queniano, NOUN, False
Simon, simon, Simon, PROPN, False
Chemwoyo, chemwoyo, Chemwoyo, PROPN, False
(, (, (, PUNCT, False
52, 52, 52, NUM, False
kg, kg, kg, NOUN, False
), ), ), PUNCT, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
A, a, o, DET, True
média, média, média, NOUN, False
de, de, de, ADP, True
altura, altura, altura, NOUN, False
da, da, de o, ADP, True
equipe, equip, equipe, NOUN, False
era, era, ser, AUX, True
um, um, um, DET, True
pouco, pouco, pouco, ADV, True
maior, maior, grande, ADJ, True
,, ,, ,, PUNCT, False
mas, ma, mas, CCONJ, True
as, as, o, DET, True
alterações, alteraçõ, alteração, NOUN, False
feitas, feita, fazer, VERB, False
por, por, por, ADP, True
Márcio, márcio, Márcio, PROPN, False
Araújo, araújo, Araújo, PROPN, False
foram, foram, ser, AUX, True
eliminando, eliminando, eliminar, VERB, False
os, os, o, DET, True
", ", ", NUM, False
gigantes, gigant, gigante, NOUN, False
", ", ", NUM, False
., ., ., PUNCT, False
Piá, piá, piá, NOUN, False
(, (, (, PUNCT, False
1,80, 1,80, 1,80, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
foi, foi, ser, AUX, True
o, o, o, DET, True
primeiro, primeiro, primeiro, ADJ, True
a, a, a, SCONJ, True
sair, sair, sair, VERB, False
,, ,, ,, PUNCT, False
para, para, para, ADP, True
a, a, o, DET, True
entrada, entrada, entrada, NOUN, False
de, de, de, ADP, True
Fabinho, fabinho, Fabinho, PROPN, False
(, (, (, PUNCT, False
1,72, 1,72, 1,72, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
., ., ., PUNCT, False
Jorginho, jorginho, Jorginho, PROPN, False
(, (, (, PUNCT, False
1,76, 1,76, 1,76, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
deu, deu, dar, VERB, False
o, o, o, DET, True
lugar, lugar, lugar, NOUN, True
a, a, a, ADP, True
Paulo, paulo, Paulo, PROPN, False
Sérgio, sérgio, Sérgio, PROPN, False
(, (, (, PUNCT, False
1,70, 1,70, 1,70, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
., ., ., PUNCT, False
O, o, o, DET, True
mesmo, mesmo, mesmo, PRON, True
aconteceu, aconteceu, acontecer, VERB, False
no, no, em o, ADP, True
último, último, último, ADJ, True
jogo, jogo, jogo, NOUN, False
entre, entr, entre, ADP, True
Pedro, pedro, Pedro, PROPN, False
(, (, (, PUNCT, False
1,79, 1,79, 1,79, NUM, False
m, m, m, NUM, False
), ), ), PUNCT, False
e, e, e, CCONJ, True
