TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Escorregar, ﻿escorregar, ﻿Escorregar, VERB, False
é, é, ser, AUX, True
a, a, o, DET, True
regra, regra, regra, NOUN, False
em, em, em, ADP, True
Wet, wet, Wet, PROPN, False
n'Wild, n'wild, n'Wild, PROPN, False
,, ,, ,, PUNCT, False
Typhoon, typhoon, Typhoon, PROPN, False
Lagoon, lagoon, Lagoon, PROPN, False
e, e, e, CCONJ, True
River, river, River, PROPN, False
Country, countri, Country, PROPN, False
,, ,, ,, PUNCT, False
os, os, o, DET, True
parques, parqu, parque, NOUN, False
aquáticos, aquático, aquático, ADJ, False
de, de, de, ADP, True
Orlando, orlando, Orlando, PROPN, False
., ., ., PUNCT, False
Difícil, difícil, difícil, ADJ, False
é, é, ser, AUX, True
eleger, eleg, eleger, VERB, False
o, o, o, DET, True
melhor, melhor, bom, NOUN, False
., ., ., PUNCT, False
Divertidos, divertido, divertido, NOUN, False
,, ,, ,, PUNCT, False
misturam, misturam, misturar, VERB, False
momentos, momento, momento, NOUN, False
agradáveis, agradávei, agradável, ADJ, False
e, e, e, CCONJ, True
puro, puro, puro, ADJ, False
pavor, pavor, pavor, NOUN, False
., ., ., PUNCT, False
Verdadeira, verdadeira, Verdadeira, PROPN, False
agonia, agonia, agoner, PROPN, False
e, e, e, CCONJ, True
êxtase, êxtase, êxtase, NOUN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Wet, wet, Wet, PROPN, False
n'Wild, n'wild, n'Wild, PROPN, False
é, é, ser, AUX, True
o, o, o, DET, True
melhor, melhor, bom, ADJ, False
para, para, para, SCONJ, True
experimentar, experimentar, experimentar, VERB, False
todos, todo, todo, DET, True
os, os, o, DET, True
tipos, tipo, tipo, NOUN, False
de, de, de, ADP, True
escorregador, escorregador, escorregador, NOUN, False
., ., ., PUNCT, False
Ao, ao, ao, ADP, True
todo, todo, todo, NOUN, True
,, ,, ,, PUNCT, False
são, são, ser, AUX, True
nove, nove, nove, NUM, True
., ., ., PUNCT, False
O, o, o, DET, True
mais, mai, mais, ADV, True
assustador, assustador, assustador, NOUN, False
é, é, ser, AUX, True
o, o, o, DET, True
Kamikase, kamikas, Kamikase, PROPN, False
,, ,, ,, PUNCT, False
com, com, com, ADP, True
30, 30, 30, NUM, False
metros, metro, metro, NOUN, False
de, de, de, ADP, True
altura, altura, altura, NOUN, False
e, e, e, CCONJ, True
ângulo, ângulo, ângulo, PROPN, False
de, de, de, ADP, True
90, 90, 90, NUM, False
graus, grau, grau, NOUN, False
,, ,, ,, PUNCT, False
que, que, que, PRON, True
lança, lança, lançar, VERB, False
o, o, o, DET, True
banhista, banhista, banhista, NOUN, False
na, na, em o, ADP, True
água, água, água, NOUN, False
a, a, a, ADP, True
toda, toda, todo, DET, True
velocidade, velocidad, velocidade, NOUN, False
., ., ., PUNCT, False
O, o, o, DET, True
melhor, melhor, bom, NOUN, False
é, é, ser, AUX, True
o, o, o, DET, True
Black, black, Black, PROPN, False
Hole, hole, Hole, PROPN, False
,, ,, ,, PUNCT, False
um, um, um, DET, True
passeio, passeio, passeio, NOUN, False
no, no, em o, ADP, True
escuro, escuro, escuro, NOUN, False
,, ,, ,, PUNCT, False
a, a, a, ADP, True
dois, doi, dois, NUM, True
,, ,, ,, PUNCT, False
a, a, a, ADP, True
bordo, bordo, bordo, NOUN, False
de, de, de, ADP, True
uma, uma, um, DET, True
câmara, câmara, câmara, NOUN, False
pneumática, pneumática, pneumático, ADJ, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Typhoon, typhoon, Typhoon, PROPN, False
Lagoon, lagoon, Lagoon, PROPN, False
tem, tem, ter, VERB, True
as, as, o, DET, True
maiores, maior, grande, ADJ, False
ondas, onda, ondas, NOUN, False
de, de, de, ADP, True
surfe, surf, surfe, NOUN, False
dos, do, de o, ADP, True
EUA, eua, EUA, PROPN, False
–, –, –, SYM, False
artificiais, artificiai, artificial, ADJ, False
,, ,, ,, PUNCT, False
é, é, ser, AUX, True
claro, claro, claro, ADJ, False
., ., ., PUNCT, False
Elas, ela, elas, PRON, True
