TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Por, ﻿por, ﻿Por, VERB, False
um, um, um, NUM, True
momento, momento, momento, NOUN, True
,, ,, ,, PUNCT, False
um, um, um, DET, True
breve, breve, breve, ADJ, True
momento, momento, momento, NOUN, True
,, ,, ,, PUNCT, False
tive, tive, ter, VERB, True
pena, pena, pena, NOUN, False
de, de, de, ADP, True
Eduardo, eduardo, Eduardo, PROPN, False
Viana, viana, Viana, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
", ", ", PUNCT, False
Caixa, caixa, Caixa, PROPN, False
d'Agua, d'agua, d'Agua, PROPN, False
", ", ", PROPN, False
,, ,, ,, PUNCT, False
em, em, em, ADP, True
sua, sua, seu, DET, True
patética, patética, patético, ADJ, False
tentativa, tentativa, tentativa, NOUN, False
de, de, de, SCONJ, True
convencer, convenc, convencer, VERB, False
os, os, o, DET, True
deputados, deputado, deputado, NOUN, False
fluminenses, fluminens, fluminense, ADJ, False
de, de, de, SCONJ, True
que, que, que, SCONJ, True
era, era, ser, AUX, True
vítima, vítima, vítima, NOUN, False
,, ,, ,, PUNCT, False
e, e, e, CCONJ, True
não, não, não, ADV, True
algoz, algoz, algoz, VERB, False
,, ,, ,, PUNCT, False
do, do, de o, ADP, True
agonizante, agonizant, agonizante, ADJ, False
futebol, futebol, futebol, NOUN, False
carioca, carioca, carioca, ADJ, False
., ., ., PUNCT, False
Foi, foi, foi, SCONJ, True
na, na, em o, ADP, True
última, última, último, ADJ, False
quarta-feira, quarta-feira, quarta-feira, NOUN, False
:, :, :, PUNCT, False
suando, suando, suar, VERB, False
muito, muito, muito, ADV, True
,, ,, ,, PUNCT, False
lábios, lábio, lábio, NOUN, False
trêmulos, trêmulo, trêmulo, ADJ, False
,, ,, ,, PUNCT, False
olhos, olho, olho, NOUN, False
aflitos, aflito, aflito, ADJ, False
,, ,, ,, PUNCT, False
Viana, viana, Viana, PROPN, False
percorria, percorria, percorrer, VERB, False
os, os, o, DET, True
corredores, corredor, corredor, NOUN, False
da, da, de o, ADP, True
Assembléia, assembléia, Assembléia, PROPN, False
Legislativa, legislativa, Legislativa, PROPN, False
suplicando, suplicando, suplicar, VERB, False
que, que, que, SCONJ, True
alguém, alguém, alguém, PRON, False
lhe, lhe, ele, PRON, True
estendesse, estendess, estender, VERB, False
a, a, o, DET, True
mão, mão, mão, NOUN, False
., ., ., PUNCT, False
Enquanto, enquanto, enquanto, ADP, True
isso, isso, isso, PRON, True
,, ,, ,, PUNCT, False
lá, lá, lá, ADV, True
dentro, dentro, dentro, ADV, True
,, ,, ,, PUNCT, False
no, no, em o, ADP, True
plenário, plenário, plenário, NOUN, False
,, ,, ,, PUNCT, False
pairava, pairava, pairar, VERB, False
sobre, sobr, sobre, ADP, True
a, a, o, DET, True
mesa, mesa, mesa, NOUN, False
do, do, de o, ADP, True
presidente, president, presidente, NOUN, False
o, o, o, DET, True
pedido, pedido, pedido, NOUN, False
de, de, de, ADP, True
uma, uma, um, DET, True
CPI, cpi, CPI, NOUN, False
que, que, que, PRON, True
poderia, poderia, poder, VERB, False
destruí-lo, destruí-lo, destruí-lo, VERB, False
., ., ., PUNCT, False
Ninguém, ninguém, ninguém, PRON, False
merece, merec, merecer, VERB, False
sofrer, sofrer, sofrer, VERB, False
tanto, tanto, tanto, ADV, True
,, ,, ,, PUNCT, False
pensei, pensei, pensar, VERB, False
., ., ., PUNCT, False
Nem, nem, nem, CCONJ, True
o, o, o, DET, True
presidente, president, presidente, NOUN, False
da, da, de o, ADP, True
Federação, federação, Federação, PROPN, False
de, de, de, ADP, True
Futebol, futebol, Futebol, PROPN, False
do, do, de o, ADP, True
Rio, rio, Rio, PROPN, False
de, de, de, ADP, True
Janeiro, janeiro, Janeiro, PROPN, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Mas, ma, mas, CCONJ, True
foi, foi, ser, AUX, True
mesmo, mesmo, mesmo, ADV, True
um, um, um, NUM, True
breve, breve, breve, ADJ, True
momento, momento, momento, NOUN, True
., ., ., PUNCT, False
Logo, logo, logo, ADV, True
me, me, eu, PRON, True
lembrei, lembrei, lembrar, VERB, False
que, que, que, SCONJ, True
Eduardo, eduardo, Eduardo, PROPN, False
Viana, viana, Viana, PROPN, False
estava, estava, estar, AUX, True
menos, meno, menos, ADV, True
só, só, só, ADV, True
do, do, de o, ADP, True
que, que, que, PRON, True
parecia, parecia, parecer, VERB, False
., ., ., PUNCT, False
Deputados, deputado, deputado, NOUN, False
do, do, de o, ADP, True
interior, interior, interior, NOUN, False
,, ,, ,, PUNCT, False
que, que, que, PRON, True
lhe, lhe, ele, PRON, True
deviam, deviam, dever, VERB, False
sabe-se, sabe-s, saber se, VERB, False
lá, lá, lá, ADV, True
que, que, que, SCONJ, True
tipo, tipo, tipo, NOUN, True
de, de, de, ADP, True
favor, favor, favor, NOUN, True
,, ,, ,, PUNCT, False
não, não, não, ADV, True
tardariam, tardariam, tardar, VERB, False
em, em, em, SCONJ, True
correr, correr, correr, VERB, False
em, em, em, ADP, True
seu, seu, seu, DET, True
socorro, socorro, socorro, NOUN, False
,, ,, ,, PUNCT, False
o, o, o, PRON, True
que, que, que, PRON, True
de, de, de, ADP, True
fato, fato, fato, NOUN, False
aconteceu, aconteceu, acontecer, VERB, False
., ., ., PUNCT, False
E, e, e, CCONJ, True
mais, mai, mais, ADV, True
:, :, :, PUNCT, False
como, como, como, ADP, True
o, o, o, DET, True
velho, velho, velho, ADJ, False
Santiago, santiago, Santiago, PROPN, False
de, de, de, ADP, True
Hemingway, hemingway, Hemingway, PROPN, False
(, (, (, PUNCT, False
com, com, com, ADP, True
