TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿"How, ﻿"how, ﻿"How, PROPN, False
was, wa, Was, PROPN, False
your, your, Your, PROPN, False
trip, trip, trip, PROPN, False
", ", ", PUNCT, False
,, ,, ,, PUNCT, False
perguntou, pergunt, perguntar, VERB, False
Doug, doug, Doug, PROPN, False
Cleghorn, cleghorn, Cleghorn, PROPN, False
,, ,, ,, PUNCT, False
sócio-proprietário, sócio-proprietário, sócio-proprietário, NOUN, False
da, da, de o, ADP, True
Orange, orang, Orange, PROPN, False
Blosson, blosson, Blosson, PROPN, False
Balloons, balloon, Balloons, PROPN, False
., ., ., PUNCT, False
", ", ", NUM, False
Unforgettable, unforgett, Unforgettable, PROPN, False
", ", ", NOUN, False
,, ,, ,, PUNCT, False
respondi, respondi, respondi, NOUN, False
., ., ., PUNCT, False
Foi, foi, ser, AUX, True
a, a, o, DET, True
única, única, único, ADJ, False
palavra, palavra, palavra, NOUN, False
que, que, que, PRON, True
encontrei, encontrei, encontrar, VERB, False
naquele, naquel, em aquele, ADP, True
minuto, minuto, minuto, NOUN, False
para, para, para, ADP, True
resumir, resumir, resumir, VERB, False
minha, minha, meu, DET, True
sensação, sensação, sensação, NOUN, False
de, de, de, SCONJ, True
sobrevoar, sobrevoar, sobrevoar, VERB, False
de, de, de, ADP, True
balão, balão, balão, NOUN, False
os, os, o, DET, True
parques, parqu, parque, NOUN, False
de, de, de, ADP, True
Walt, walt, Walt, PROPN, False
Disney, disney, disney, ADJ, False
World, world, World, PROPN, False
., ., ., PUNCT, False
Ainda, ainda, ainda, ADV, True
estava, estava, estar, AUX, True
extasiada, extasiada, extasiado, ADJ, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Minha, minha, minha, DET, True
aventura, aventura, aventura, NOUN, False
começou, começ, começar, VERB, False
de, de, de, ADP, True
madrugada, madrugada, madrugada, NOUN, False
., ., ., PUNCT, False
Praticar, praticar, praticar, VERB, False
balonismo, balonismo, balonismo, ADJ, False
requer, requer, requerer, VERB, False
certos, certo, certos, DET, False
esforços, esforço, esforço, NOUN, False
., ., ., PUNCT, False
O, o, o, DET, True
primeiro, primeiro, primeiro, ADJ, True
deles, dele, de ele, PRON, False
foi, foi, ser, AUX, True
colocar, colocar, colocar, VERB, False
o, o, o, DET, True
despertador, despertador, despertador, NOUN, False
para, para, para, ADP, True
bem, bem, bem, ADV, True
