TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Dezenas, ﻿dezena, ﻿Dezena, NOUN, False
de, de, de, ADP, True
operadoras, operadora, operadora, NOUN, False
estão, estão, estar, AUX, True
vendendo, vendendo, vender, VERB, False
pacotes, pacot, pacote, NOUN, False
de, de, de, ADP, True
férias, féria, férias, NOUN, False
para, para, para, ADP, True
a, a, o, DET, True
Disney, disney, Disney, PROPN, False
., ., ., PUNCT, False
Não, não, não, ADV, True
é, é, ser, AUX, True
preciso, preciso, preciso, ADJ, False
muitos, muito, muito, DET, True
telefonemas, telefonema, telefonema, NOUN, False
para, para, para, SCONJ, True
constatar, constatar, constatar, VERB, False
que, que, que, SCONJ, True
os, os, o, DET, True
preços, preço, preço, NOUN, False
variam, variam, variar, VERB, False
–, –, –, NOUN, False
e, e, e, CCONJ, True
muito, muito, muito, ADV, True
., ., ., PUNCT, False
Com, com, com, ADP, True
lápis, lápi, lápis, NOUN, False
e, e, e, CCONJ, True
papel, papel, papel, NOUN, False
na, na, em o, ADP, True
mão, mão, mão, NOUN, False
,, ,, ,, PUNCT, False
faça, faça, fazer, VERB, False
as, as, o, DET, True
contas, conta, conta, NOUN, False
., ., ., PUNCT, False
Veja, veja, Veja, VERB, True
quem, quem, quem, PRON, True
oferece, oferec, oferecer, VERB, False
mais, mai, mais, DET, True
passeios, passeio, passeio, NOUN, False
,, ,, ,, PUNCT, False
roteiros, roteiro, roteiro, NOUN, False
exclusivos, exclusivo, exclusivo, ADJ, False
e, e, e, CCONJ, True
,, ,, ,, PUNCT, False
por, por, por, ADP, True
que, que, que, PRON, True
não, não, não, ADV, True
,, ,, ,, PUNCT, False
tem, tem, ter, VERB, True
mais, mai, mais, DET, True
tradição, tradição, tradição, NOUN, False
no, no, em o, ADP, True
mercado, mercado, mercado, NOUN, False
., ., ., PUNCT, False
Algumas, alguma, algum, DET, True
sugestões, sugestõ, sugestão, NOUN, False
:, :, :, PUNCT, False

, 
, 
, SPACE, False
Na, na, em o, ADP, True
Grantur, grantur, Grantur, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
pacote, pacot, pacote, NOUN, False
de, de, de, ADP, True
17, 17, 17, NUM, False
dias, dia, dia, NOUN, False
(, (, (, PUNCT, False
11, 11, 11, NUM, False
em, em, em, ADP, True
Orlando, orlando, Orlando, PROPN, False
e, e, e, CCONJ, True
quatro, quatro, quatro, NUM, True
em, em, em, ADP, True
Miami, miami, Miami, PROPN, False
), ), ), PUNCT, False
é, é, ser, AUX, True
o, o, o, DET, True
mais, mai, mais, ADV, True
exclusivo, exclusivo, exclusivo, ADJ, False
–, –, –, PUNCT, False
há, há, haver, VERB, False
também, também, também, ADV, True
uma, uma, um, DET, True
opção, opção, opção, NOUN, False
de, de, de, ADP, True
15, 15, 15, NUM, False
dias, dia, dia, NOUN, False
., ., ., PUNCT, False
Custa, custa, custar, VERB, True
desde, desd, desde, ADP, True
US$, us$, US$, SYM, False
2.362, 2.362, 2.362, NUM, False
/, /, /, ADP, False
CR$, cr$, CR$, SYM, False
826, 826, 826, NUM, False
mil, mil, mil, NUM, True
(, (, (, PUNCT, False
apartamento, apartamento, apartamento, NOUN, False
quádruplo, quádruplo, quádruplo, NOUN, False
), ), ), PUNCT, False
;, ;, ;, PUNCT, False
criança, criança, criança, NOUN, False
paga, paga, pagar, VERB, False
US$, us$, US$, SYM, False
1.772, 1.772, 1.772, NUM, False
/, /, /, ADP, False
CR$, cr$, CR$, SYM, False
620, 620, 620, NUM, False
mil, mil, mil, NUM, True
., ., ., PUNCT, False
Pode, pode, poder, VERB, True
ser, ser, ser, AUX, True
parcelado, parcelado, parcelar, VERB, False
em, em, em, ADP, True
até, até, até, ADP, True
20, 20, 20, NUM, False
vezes, veze, vez, NOUN, True
., ., ., PUNCT, False
Inclui, inclui, Inclui, VERB, False
passagem, passagem, passagem, NOUN, False
aérea, aérea, aéreo, ADJ, False
(, (, (, PUNCT, False
com, com, com, ADP, True
taxa, taxa, taxa, NOUN, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
hotéis, hotéi, hotel, NOUN, False
categoria, categoria, categor, VERB, False
quatro, quatro, quatro, NUM, True
/, /, /, PUNCT, False
cinco, cinco, cinco, NUM, True
estrelas, estrela, estrela, NOUN, False
(, (, (, PUNCT, False
com, com, com, ADP, True
café, café, café, NOUN, False
da, da, de o, ADP, True
manhã, manhã, manhã, NOUN, False
em, em, em, ADP, True
Orlando, orlando, Orlando, PROPN, False
), ), ), PUNCT, False
e, e, e, CCONJ, True
todos, todo, todo, DET, True
os, os, o, DET, True
passeios, passeio, passeio, NOUN, False
:, :, :, PUNCT, False
Magic, magic, Magic, PROPN, False
Kingdom, kingdom, Kingdom, PROPN, False
,, ,, ,, PUNCT, False
Epcot, epcot, Epcot, PROPN, False
Center, center, Center, PROPN, False
,, ,, ,, PUNCT, False
MGM, mgm, MGM, PROPN, False
Studios, studio, Studios, PROPN, False
(, (, (, PUNCT, False
os, os, o, DET, True
três, trê, três, NUM, True
com, com, com, ADP, True
passaporte, passaport, passaporte, NOUN, False
para, para, para, ADP, True
cinco, cinco, cinco, NUM, True
dias, dia, dia, NOUN, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
Universal, univers, Universal, PROPN, False
Studios, studio, Studios, PROPN, False
,, ,, ,, PUNCT, False
Busch, busch, Busch, PROPN, False
Gardens, garden, Gardens, PROPN, False
,, ,, ,, PUNCT, False
Sea, sea, Sea, PROPN, False
World, world, World, PROPN, False
,, ,, ,, PUNCT, False
Kennedy, kennedi, Kennedy, PROPN, False
Space, space, Space, PROPN, False
Center, center, Center, PROPN, False
/, /, /, PROPN, False
Space, space, Space, PROPN, False
Camp, camp, Camp, PROPN, False
,, ,, ,, PUNCT, False
Medieval, mediev, Medieval, PROPN, False
Times, time, Times, PROPN, False
,, ,, ,, PUNCT, False
Church, church, Church, PROPN, False
Street, street, Street, PROPN, False
Station, station, Station, PROPN, False
,, ,, ,, PUNCT, False
Saint, saint, Saint, PROPN, False
Augustine, augustin, Augustine, PROPN, False
(, (, (, PUNCT, False
com, com, com, ADP, True
o, o, o, DET, True
Museu, museu, Museu, PROPN, False
de, de, de, ADP, True
Ripley, ripley, Ripley, PROPN, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
passeio, passeio, passeio, NOUN, False
de, de, de, ADP, True
balão, balão, balão, NOUN, False
(, (, (, PUNCT, False
sorteado, sorteado, sortear, VERB, False
para, para, para, ADP, True
dois, doi, dois, NUM, True
passageiros, passageiro, passageiro, NOUN, False
do, do, de o, ADP, True
grupo, grupo, grupo, NOUN, True
), ), ), PUNCT, False
e, e, e, CCONJ, True
um, um, um, DET, True
cruzeiro, cruzeiro, cruzeiro, NOUN, False
com, com, com, SCONJ, True
jantar, jantar, jantar, VERB, False
em, em, em, ADP, True
Biscayne, biscayn, Biscayne, PROPN, False
Bay, bay, Bay, PROPN, False
(, (, (, PUNCT, False
Miami, miami, Miami, PROPN, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
além, além, além, ADV, True
de, de, de, ADP, True
