TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Fundada, ﻿fundada, ﻿Fundar, VERB, False
há, há, há, ADP, False
359, 359, 359, NUM, False
anos, ano, ano, NOUN, False
,, ,, ,, PUNCT, False
em, em, em, ADP, True
1636, 1636, 1636, NUM, False
,, ,, ,, PUNCT, False
às, às, a o, ADP, True
margens, margen, margem, NOUN, False
do, do, de o, ADP, True
rio, rio, rio, NOUN, False
Charles, charl, Charles, PROPN, False
,, ,, ,, PUNCT, False
que, que, que, PRON, True
separa, separa, separar, VERB, False
a, a, o, DET, True
aconchegante, aconchegant, aconchegante, ADJ, False
Cambridge, cambridg, Cambridge, PROPN, False
,, ,, ,, PUNCT, False
sua, sua, seu, DET, True
sede, sede, sede, NOUN, False
,, ,, ,, PUNCT, False
de, de, de, ADP, True
Boston, boston, Boston, PROPN, False
,, ,, ,, PUNCT, False
a, a, a, ADP, True
Harvard, harvard, Harvard, PROPN, False
Business, busi, Business, PROPN, False
School, school, School, PROPN, False
é, é, ser, AUX, True
o, o, o, DET, True
alvo, alvo, alvo, NOUN, False
de, de, de, ADP, True
cada, cada, cada, DET, True
estudante, estudant, estudante, NOUN, False
de, de, de, ADP, True
negócios, negócio, negócio, NOUN, False
de, de, de, ADP, True
todo, todo, todo, DET, True
o, o, o, DET, True
mundo, mundo, mundo, NOUN, False
que, que, que, PRON, True
almeja, almeja, almejar, VERB, False
ser, ser, ser, AUX, True
um, um, um, NUM, True
dia, dia, dia, NOUN, False
um, um, um, DET, True
bem-sucedido, bem-sucedido, bem-sucedido, NOUN, False
CEO, ceo, CEO, PROPN, False
(, (, (, PUNCT, False
Chief, chief, Chief, PROPN, False
Executive, execut, Executive, PROPN, False
Officer, offic, Officer, PROPN, False
,, ,, ,, PUNCT, False
o, o, o, DET, True
principal, princip, principal, ADJ, False
executivo, executivo, executivo, NOUN, False
de, de, de, ADP, True
uma, uma, um, DET, True
grande, grand, grande, ADJ, True
empresa, empresa, empresa, NOUN, False
global, global, global, ADJ, False
), ), ), PUNCT, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Entre, entr, entre, ADP, True
os, os, o, DET, True
mais, mai, mais, ADV, True
conhecidos, conhecido, conhecer, VERB, False
ex-alunos, ex-aluno, ex-aluno, NOUN, False
de, de, de, ADP, True
Harvard, harvard, Harvard, PROPN, False
está, está, estar, AUX, True
o, o, o, DET, True
filho, filho, filho, NOUN, False
mais, mai, mais, ADV, True
famoso, famoso, famoso, ADJ, False
de, de, de, ADP, True
Boston, boston, Boston, PROPN, False
,, ,, ,, PUNCT, False
John, john, John, PROPN, False
Fitzgerald, fitzgerald, Fitzgerald, PROPN, False
Kennedy, kennedi, Kennedy, PROPN, False
,, ,, ,, PUNCT, False
presidente, president, presidente, NOUN, False
