TOKEN, STEMMING, LEMMA, POS, IS_STOP_WORD 
﻿Sete, ﻿sete, ﻿Sete, NOUN, False
em, em, em, ADP, True
cada, cada, cada, DET, True
dez, dez, dez, NUM, True
jogadores, jogador, jogador, NOUN, False
de, de, de, ADP, True
futebol, futebol, futebol, NOUN, False
profissional, profission, profissional, ADJ, False
no, no, em o, ADP, True
Brasil, brasil, Brasil, PROPN, False
receberam, receberam, receber, VERB, False
entre, entr, entre, ADP, True
um, um, um, NUM, True
e, e, e, CCONJ, True
dois, doi, dois, NUM, True
salários, salário, salário, NOUN, False
mínimos, mínimo, mínimo, ADJ, False
por, por, por, ADP, True
mês, mê, mês, NOUN, True
no, no, em o, ADP, True
ano, ano, ano, NOUN, False
passado, passado, passado, ADJ, False
., ., ., PUNCT, False
A, a, o, DET, True
revelação, revelação, revelação, NOUN, False
é, é, ser, AUX, True
da, da, de o, ADP, True
CBF, cbf, CBF, PROPN, False
(, (, (, PUNCT, False
Confederação, confederação, Confederação, PROPN, False
Brasileira, brasileira, Brasileira, PROPN, False
de, de, de, ADP, True
Futebol, futebol, Futebol, PROPN, False
), ), ), PUNCT, False
,, ,, ,, PUNCT, False
a, a, o, DET, True
entidade, entidad, entidade, NOUN, False
máxima, máxima, grande, ADJ, False
do, do, de o, ADP, True
futebol, futebol, futebol, NOUN, False
brasileiro, brasileiro, brasileiro, ADJ, False
,, ,, ,, PUNCT, False
onde, ond, onde, PRON, True
são, são, ser, AUX, True
registrados, registrado, registrar, VERB, False
os, os, o, DET, True
contratos, contrato, contrato, NOUN, False
dos, do, de o, ADP, True
atletas, atleta, atleta, NOUN, False
de, de, de, ADP, True
todo, todo, todo, DET, True
o, o, o, DET, True
país, paí, país, NOUN, False
., ., ., PUNCT, False
O, o, o, DET, True
estudo, estudo, estudo, NOUN, False
desmente, desment, desmentir, VERB, False
a, a, o, DET, True
crença, crença, crença, NOUN, False
bastante, bastant, bastante, ADV, True
difundida, difundida, difundir, VERB, False
de, de, de, SCONJ, True
que, que, que, SCONJ, True
jogadores, jogador, jogador, NOUN, False
são, são, ser, AUX, True
,, ,, ,, PUNCT, False
na, na, em o, ADP, True
maioria, maioria, maioria, NOUN, True
,, ,, ,, PUNCT, False
bem, bem, bem, ADV, True
remunerados, remunerado, remunerado, ADJ, False
., ., ., PUNCT, False

, 
, 
, SPACE, False
Mesmo, mesmo, mesmo, ADV, True
considerando, considerando, considerar, VERB, False
que, que, que, SCONJ, True
muitos, muito, muito, DET, True
clubes, clube, clube, NOUN, False
