"A, VERB
idéia, NOUN
é, VERB
que, SCONJ
os, DET
contratos, NOUN
sejam, AUX
coletivos, ADJ
., PUNCT
Na, ADP
assinatura, NOUN
dos, ADP
contratos, NOUN
,, PUNCT
ambas, DET
as, DET
partes, NOUN
–, PROPN
jogador, ADJ
e, CCONJ
clube, NOUN
–, NUM
apresentarão, VERB
suas, DET
propostas, NOUN
,, PUNCT
chegando-se, VERB
a, ADP
um, DET
acordo, NOUN
., PUNCT
Nos, ADP
contratos, NOUN
atuais, ADJ
o, DET
jogador, NOUN
chega, VERB
desprotegido, VERB
diante, ADV
do, DET
clube, NOUN
", X
,, PUNCT
disse, VERB
o, DET
ministro, NOUN
,, PUNCT
que, PRON
acredita, VERB
poder, VERB
diminuir, VERB
os, DET
casos, NOUN
de, ADP
injustiça, NOUN
ocorridos, VERB
no, ADP
futebol, NOUN
., PUNCT
", NUM
A, DET
história, NOUN
mostra, VERB
que, SCONJ
muitos, DET
jogadores, NOUN
passaram, VERB
por, ADP
problemas, NOUN
em, ADP
suas, DET
carreiras, NOUN
,, PUNCT
devido, ADV
a, DET
discussão, NOUN
de, ADP
contratos, NOUN
", NUM
,, PUNCT
afirmou, VERB
Barelli, PROPN
., PUNCT

, SPACE
Nesta, ADP
conferência, NOUN
também, ADV
deverá, VERB
ser, AUX
discutido, VERB
o, DET
artigo, NOUN
26, NUM
da, ADP
Lei, PROPN
Zico, PROPN
,, PUNCT
que, PRON
incumbe, VERB
o, DET
Conselho, PROPN
Superior, PROPN
de, ADP
Desportos, PROPN
a, ADP
", NOUN
fixar, VERB
o, DET
valor, NOUN
,, PUNCT
critérios, NOUN
e, CCONJ
condições, NOUN
para, ADP
pagamento, NOUN
da, ADP
importância, NOUN
denominada, VERB
passe, NOUN
", NOUN
., PUNCT
No, ADP
caso, NOUN
de, ADP
Dener, PROPN
,, PUNCT
o, DET
Conselho, PROPN
de, ADP
Orientação, PROPN
e, CCONJ
Fiscalização, PROPN
da, ADP
Portuguesa, PROPN
estipulou, VERB
o, DET
passe, NOUN
em, ADP
US$, SYM
3, NUM
milhões, NUM
., PUNCT

, SPACE
